,Title,Channel name,Views,Game
1068,[Music] Conker s Bad Fur Day Count Batula,gmaster2647,198061,Conker s Bad Fur Day
1070,Moonlight Canyon Kirby and the Forgotten Land OST [055],J.O.E. VGM,197171,Kirby and the Forgotten Land
1072, Croft Manor 1a Tomb Raider Legend Soundtrack by Troels Brun Folmann [DR],Music of Tomb Raider,194946,Tomb Raider
1073,Sky Tower Kirby s Return to Dream Land Soundtrack,Eternal,194716,Kirby s Return to Dream Land
1076,Yakuza Kiwami 2 OST Update With Gunfire,Like a Maid Dragon,190342,Yakuza Kiwami
1079,Super Mario 64 Remastered File Select,Church of Kondo,188215,Super Mario 64
1081,Cavi Cape DX Mario and Luigi Bowser s Inside Story Bowser Jr s Journey OST,Woodman's Music Channel,187460,Journey
1083,The Ultimate Show Super Paper Mario,SPM HD,186052,Super Paper Mario
1084,Maritime Memory Squid Sisters Splatoon OST,Splatoon OSTs - GRG,185765,Splatoon
1096,Mario Super Sluggers Music Character Select,TherókMSM,180681,Mario Super Sluggers
1098,Frost Man Ice Stage Mega Man 8 [OST],DeoxysPrime,180494,Mega Man
1105,5 P M Animal Crossing New Leaf,Nostalgia OST,177796,Animal Crossing
1112,57 Gear Getaway Donkey Kong Country Returns OST,SMBGamingOST,171482,Donkey Kong Country
1113,The Nightmare Woods Run Run Rottytops Shantae and the Pirate s Curse [OST],DeoxysPrime,171438,Shantae and the Pirate s Curse
1115,Super Mario 64 Remastered Inside the Castle Walls,Church of Kondo,170596,Super Mario 64
1124,Donkey Kong Country 3 Mill Fever [Restored],Jammin' Sam Miller,166177,Donkey Kong Country
1126,Inon Zur Main Theme Dragon Age Origins OST ,Inon Zur,166128,Dragon Age Origins
1137,Welcome to Wondaria Kirby and the Forgotten Land OST [025],J.O.E. VGM,160892,Kirby and the Forgotten Land
1139,Dimble Woods DX Mario and Luigi Bowser s Inside Story Bowser Jr s Journey OST,Woodman's Music Channel,160330,Journey
1140,Donkey Kong Country 2 Welcome to Crocodile Isle [Restored] NEW 2021 MIX,Jammin' Sam Miller,160026,Donkey Kong Country
1144,Invasion at the House of Horrors Kirby and the Forgotten Land OST [027],J.O.E. VGM,155959,Kirby and the Forgotten Land
1152,The Noble Haltmann Exclusive Performance Video HD Kirby Planet Robobot in Citra ,Faye,154475,Kirby Planet Robobot
1155,Scribblenauts Unlimited Music Title Screen,oto_ga,153855,Scribblenauts
1162,Super Mario 64 Remastered Bob Omb Battlefield Super Mario 64 Main Theme ,Church of Kondo,149672,Super Mario 64
1169,Welcome to VR World Judgment JUDGE EYES Shinigami no Yuigon,Murabito,144189,Judgment
1170,Black Dragon Fight Club Soundtrack Mortal Kombat,Mortal Kombat,143127,Black
1172,Angel Island Sonic The Hedgehog 3 ,SEGA SOUND TEAM - Topic,142703,Sonic The Hedgehog
1178,Donkey Kong Country 3 Submap Shuffle [Restored],Jammin' Sam Miller,141266,Donkey Kong Country
1179,Wii Koopa Cape Medley Mario Kart 8 Deluxe OST,Dave's OSTs,140811,Mario Kart 8 Deluxe
1180,1 P M Animal Crossing New Leaf,Nostalgia OST,140563,Animal Crossing
1182,Wind Temple [All Phases Seamless Theme] — The Legend of Zelda Tears of the Kingdom OST,DylTheis Productions,139998,The Legend of Zelda
1184,Steam Gardens Super Mario Odyssey OST,Dave's OSTs,139468,Super Mario Odyssey
1185,Donkey Kong Country 3 Cascade Capers [Restored],Jammin' Sam Miller,138980,Donkey Kong Country
1187,Donkey Kong Country 2 Snakey Chantey [Restored],Jammin' Sam Miller,138601,Donkey Kong Country
1190,Eichenwalde Overwatch Cities Countries,PlayOverwatch,137897,Overwatch
